epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,191.033,1.27161,1.06214,1.06052,0.37393,0.18004,0.23409,0.1261,1.76156,3.62576,1.2169,8.15345e-05,8.15345e-05,8.15345e-05
57,193.972,1.27284,1.09453,1.04945,0.32142,0.18495,0.23467,0.13085,1.69767,3.58802,1.18905,7.97624e-05,7.97624e-05,7.97624e-05
58,196.863,1.24956,1.03558,1.03098,0.33887,0.18595,0.24203,0.13746,1.62593,3.54473,1.15691,7.79903e-05,7.79903e-05,7.79903e-05
59,199.836,1.2611,1.06289,1.04504,0.27676,0.1862,0.24949,0.14159,1.63028,3.4988,1.15475,7.62182e-05,7.62182e-05,7.62182e-05
60,202.968,1.23713,1.04717,1.02827,0.30844,0.21296,0.23492,0.12754,1.82639,3.47973,1.2538,7.44461e-05,7.44461e-05,7.44461e-05
61,207.666,1.23684,1.02879,1.03817,0.3601,0.21776,0.24328,0.13229,1.8642,3.45424,1.2762,7.2674e-05,7.2674e-05,7.2674e-05
62,213.162,1.21251,0.99837,1.03387,0.36474,0.22048,0.24525,0.1372,1.80297,3.40057,1.24242,7.09019e-05,7.09019e-05,7.09019e-05
63,216.163,1.19618,1.00467,1.0387,0.38163,0.23133,0.24832,0.14068,1.75528,3.35766,1.21769,6.91298e-05,6.91298e-05,6.91298e-05
64,219.05,1.17447,0.97811,1.00622,0.39553,0.24944,0.23579,0.14054,1.70864,3.33447,1.19524,6.73577e-05,6.73577e-05,6.73577e-05
65,222.023,1.17824,0.96352,0.99774,0.35923,0.25552,0.23916,0.14142,1.72438,3.35925,1.2046,6.55856e-05,6.55856e-05,6.55856e-05
66,224.807,1.17084,0.95951,1.03259,0.39467,0.24036,0.23744,0.137,1.83094,3.42272,1.2669,6.38135e-05,6.38135e-05,6.38135e-05
