epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,488.437,0.56151,0.30353,0.90555,0.99748,1,0.995,0.84004,0.85224,0.31881,1.00976,0.000222875,0.000222875,0.000222875
85,495.294,0.54739,0.30957,0.91058,0.99742,1,0.995,0.85532,0.80763,0.30551,0.98701,0.0002105,0.0002105,0.0002105
86,503.737,0.53557,0.29312,0.89179,0.99766,1,0.995,0.85693,0.79751,0.299,0.98553,0.000198125,0.000198125,0.000198125
87,510.742,0.54119,0.30623,0.89791,0.99765,1,0.995,0.85154,0.81353,0.30774,0.99582,0.00018575,0.00018575,0.00018575
88,516.086,0.54935,0.29899,0.89851,0.99759,1,0.995,0.81634,0.90035,0.32522,1.04548,0.000173375,0.000173375,0.000173375
89,520.695,0.52078,0.29049,0.89232,0.98594,1,0.995,0.81455,0.94351,0.33878,1.06841,0.000161,0.000161,0.000161
90,524.785,0.51918,0.29233,0.89891,0.98396,1,0.995,0.81397,0.95305,0.33859,1.07328,0.000148625,0.000148625,0.000148625
91,528.426,0.55358,0.29327,0.8899,0.98034,0.99503,0.995,0.81602,0.93575,0.33667,1.06462,0.00013625,0.00013625,0.00013625
92,532.323,0.50553,0.28041,0.8803,0.99432,1,0.995,0.8332,0.86924,0.31347,1.02722,0.000123875,0.000123875,0.000123875
93,536.171,0.53842,0.28332,0.88531,0.99498,1,0.995,0.84481,0.84041,0.30501,1.01093,0.0001115,0.0001115,0.0001115
94,539.936,0.49428,0.26653,0.86336,0.99555,1,0.995,0.84532,0.82955,0.30268,1.00716,9.9125e-05,9.9125e-05,9.9125e-05
95,543.389,0.51628,0.27258,0.8796,0.9963,1,0.995,0.8465,0.83018,0.30235,1.00965,8.675e-05,8.675e-05,8.675e-05
96,547.134,0.54198,0.28923,0.87454,0.99724,1,0.995,0.84161,0.85734,0.30878,1.02593,7.4375e-05,7.4375e-05,7.4375e-05
97,550.859,0.54723,0.2847,0.8942,0.99722,1,0.995,0.83294,0.88268,0.31751,1.03819,6.2e-05,6.2e-05,6.2e-05
98,554.928,0.52158,0.2673,0.88131,0.9971,1,0.995,0.824,0.9055,0.3184,1.04911,4.9625e-05,4.9625e-05,4.9625e-05
99,558.827,0.49645,0.26232,0.87751,0.99709,1,0.995,0.82065,0.91557,0.32284,1.05514,3.725e-05,3.725e-05,3.725e-05
100,562.883,0.50684,0.26352,0.89784,0.99712,1,0.995,0.82616,0.91637,0.31905,1.05831,2.4875e-05,2.4875e-05,2.4875e-05
